DUID,DATE,SCADAVALUE_sum,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,Reg Cap generation (MW),Max Cap generation (MW),Max ROC/Min generation,Reg Cap consumption (MW),Max Cap consumption (MW),Max ROC/Min consumption,Comments
ADPBA1,2025-01-01,84.26,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-02,128.208,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-03,215.221,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-04,124.45,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-05,81.853,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-06,83.806,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-07,47.126,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-08,153.792,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-09,128.7,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-10,144.691,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-11,118.392,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-12,118.16499999999999,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-13,170.849,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-14,238.81,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-15,146.36599999999999,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-16,227.959,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-17,79.782,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-18,164.1,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-19,223.365,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-20,237.873,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-21,171.379,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-22,36.547000000000004,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-23,233.079,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-24,92.48,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-25,177.698,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-26,142.352,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-27,128.331,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-28,11.643,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-29,218.863,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-30,153.567,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-01-31,169.746,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPBA1,2025-02-01,0.083,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,7.76,6.15,4,7.0,6.0,4.0,
ADPPV1,2025-01-01,360.503,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-02,358.94,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-03,1643.243,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-04,900.379,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-05,838.73,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-06,1346.229,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-07,507.437,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-08,1423.375,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-09,1951.983,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-10,2105.477,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-11,2063.213,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-12,2019.227,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-13,1822.554,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-14,2025.935,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-15,547.242,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-16,1020.002,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-17,612.439,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-18,1590.618,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-19,1734.74,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-20,1684.338,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-21,1080.537,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-22,867.193,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-23,1019.418,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-24,354.926,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-25,748.066,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-26,993.302,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-27,762.249,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-28,518.633,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-29,310.635,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-30,571.477,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
ADPPV1,2025-01-31,1832.788,South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,24.75,19,4,,,,
AGLHAL,2025-01-03,5009.74488,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-04,1338.04639,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-05,952.71191,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-06,415.95981,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-07,56.558440000000004,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-08,3045.19142,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-09,2658.55224,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-13,290.64313,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-14,946.3183,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-16,1825.39667,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-18,3283.2282,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-19,10617.22553,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-20,2119.35871,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-23,550.81352,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLHAL,2025-01-26,3211.01377,EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-13,Y,217,255,44,,,,
AGLSOM,2025-01-04,4954.2999899999995,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-05,7031.07489,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-09,6684.47493,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-10,4875.95,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-11,7559.75001,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-12,8783.19999,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-13,8554.57501,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-14,7339.32499,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
AGLSOM,2025-01-19,5586.77502,AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-4,Y,170,170,30,,,,
