I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE,LASTCHANGED
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ADPBA1,1.217,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ADPPV1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AGLHAL,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AGLSOM,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ANGAST1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ARWF1,79.3,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AVLSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BALB1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BALDHWF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANGOWF1,26.69719,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANGOWF2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANN1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARCALDN,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARCSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARKIPS1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARRON-1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARRON-2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BASTYAN,76.11001,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBATTERY1,-1.10276,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE3,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BDL01,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BDL02,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BERYLSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BHB1,-0.1133,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLOWERNG,55.1,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLUEGSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLUFF1,0.2,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLYTHB1,-0.56,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BNGSF1,0.0,2025/01/01 00:00:13
