YEAR_MONTH_DAY,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH,DAY,WEEKDAY
2019-01-01,78.68,74.77,45.82,131.15,8297.11,8412.75,6198.13,10612.81,2019,01,01,1
2019-01-02,91.86,92.39,45.77,186.8,8745.69,8883.67,6426.5,10942.52,2019,01,02,2
2019-01-03,94.2,92.52,60.39,159.14,8612.55,8800.96,6522.65,10540.06,2019,01,03,3
2019-01-04,104.19,99.43,41.05,249.75,9205.37,9343.56,6517.74,11899.31,2019,01,04,4
2019-01-05,93.5,90.72,63.35,168.7,8584.94,8368.66,6707.35,10828.94,2019,01,05,5
2019-01-06,65.09,64.01,52.36,82.95,6937.7,7034.64,6094.59,7713.06,2019,01,06,6
2019-01-07,70.44,68.68,49.71,93.59,7759.52,8294.69,5973.27,8773.42,2019,01,07,0
2019-01-08,91.51,88.52,61.45,215.94,8569.57,8778.72,6376.95,10538.07,2019,01,08,1
2019-01-09,87.03,86.88,55.39,133.39,8540.9,8749.62,6479.1,10120.89,2019,01,09,2
2019-01-10,80.58,81.87,58.66,108.63,8076.51,8512.04,6516.42,8999.5,2019,01,10,3
2019-01-11,81.04,81.76,49.71,142.01,8302.97,8553.01,6386.09,9791.54,2019,01,11,4
2019-01-12,87.5,80.24,36.75,181.83,8440.82,8339.48,6341.58,10751.63,2019,01,12,5
2019-01-13,67.6,60.42,43.4,109.24,7684.18,7682.73,6381.0,8937.67,2019,01,13,6
2019-01-14,144.35,115.18,59.52,297.8,9135.77,9363.92,6462.92,11551.01,2019,01,14,0
2019-01-15,184.27,165.04,66.36,313.9,9995.51,10053.51,6970.36,12972.76,2019,01,15,1
2019-01-16,174.34,151.33,83.11,337.72,10313.69,10471.56,7211.82,13270.16,2019,01,16,2
2019-01-17,162.35,124.7,87.35,302.6,10402.96,10495.36,7302.44,13545.39,2019,01,17,3
2019-01-18,137.62,119.88,94.2,331.58,10497.62,10744.59,7405.34,13301.42,2019,01,18,4
2019-01-19,81.86,78.98,60.07,114.76,8517.35,8708.2,7359.82,9452.89,2019,01,19,5
2019-01-20,71.68,69.63,38.11,106.35,7796.73,7820.58,6408.85,9127.92,2019,01,20,6
2019-01-21,106.98,108.2,58.03,205.04,8893.65,9400.32,6555.86,10400.32,2019,01,21,0
2019-01-22,145.39,116.76,61.51,284.54,9758.68,9772.16,6824.18,12712.0,2019,01,22,1
2019-01-23,121.97,105.58,65.72,256.08,9329.99,9553.86,7037.81,11284.68,2019,01,23,2
2019-01-24,103.94,94.92,63.94,208.76,9003.79,9216.88,6758.88,10884.25,2019,01,24,3
2019-01-25,149.58,108.66,71.77,323.79,10221.61,10457.92,6983.35,13206.9,2019,01,25,4
2019-01-26,105.87,97.74,55.76,218.84,9716.52,9982.03,7299.31,11771.98,2019,01,26,5
2019-01-27,90.26,90.28,57.98,133.11,8903.63,9027.97,6995.12,10777.77,2019,01,27,6
2019-01-28,124.91,94.78,65.79,276.33,8437.27,8542.31,6719.84,10181.53,2019,01,28,0
2019-01-29,331.97,121.0,73.76,4631.98,9954.87,10114.76,6878.38,12923.19,2019,01,29,1
2019-01-30,158.76,130.38,63.51,299.58,9931.69,10155.84,7099.81,12369.34,2019,01,30,2
2019-01-31,152.01,108.96,62.21,1913.0,9949.67,9835.62,7047.88,13700.9,2019,01,31,3
2019-02-01,81.93,82.18,61.34,99.54,8033.38,8391.78,6597.62,8734.79,2019,02,01,4
2019-02-02,74.21,75.44,49.71,90.27,7833.34,8069.06,6423.03,8918.33,2019,02,02,5
2019-02-03,111.67,85.14,52.52,275.35,8397.15,8278.7,6448.78,10840.48,2019,02,03,6
2019-02-04,138.67,113.94,74.8,303.96,9542.98,9727.23,6622.75,12226.27,2019,02,04,0
2019-02-05,89.8,95.17,49.43,115.2,9082.88,9488.65,6880.01,10615.07,2019,02,05,1
2019-02-06,113.46,108.66,65.4,265.37,9117.66,9457.19,6733.26,11093.75,2019,02,06,2
2019-02-07,110.93,111.4,57.25,228.54,9290.47,9543.62,6808.61,11382.36,2019,02,07,3
2019-02-08,100.84,100.56,67.09,139.61,9051.87,9150.54,6880.87,11403.56,2019,02,08,4
2019-02-09,81.53,80.79,62.69,108.44,7854.82,7805.73,6331.29,9371.2,2019,02,09,5
2019-02-10,82.48,79.04,60.16,137.81,7013.85,6866.06,6142.44,8202.26,2019,02,10,6
2019-02-11,91.91,88.69,69.91,145.5,8187.52,8191.24,6017.97,10262.63,2019,02,11,0
2019-02-12,80.03,82.0,15.54,134.16,9004.53,8694.28,6306.53,12110.45,2019,02,12,1
2019-02-13,93.79,93.65,62.59,121.18,8013.86,8264.2,6487.19,9138.63,2019,02,13,2
2019-02-14,89.24,90.18,67.08,102.75,7869.51,8123.57,6260.5,8947.08,2019,02,14,3
2019-02-15,87.5,86.12,71.78,110.02,7940.52,8216.57,6338.8,9026.09,2019,02,15,4
2019-02-16,79.2,78.82,43.21,107.96,7529.74,7593.07,6266.7,8602.03,2019,02,16,5
2019-02-17,85.68,73.73,50.41,139.97,7813.55,7518.54,6243.35,9974.41,2019,02,17,6
2019-02-18,93.98,98.82,57.87,131.29,9091.19,9068.5,6445.26,11898.99,2019,02,18,0
2019-02-19,101.38,108.44,59.01,142.49,8673.28,9009.65,6716.46,9959.26,2019,02,19,1
2019-02-20,100.25,101.54,68.71,120.24,8118.35,8544.96,6420.37,9148.87,2019,02,20,2
2019-02-21,92.39,91.74,65.14,127.02,8062.59,8510.21,6390.85,8969.84,2019,02,21,3
2019-02-22,78.04,77.94,62.22,98.14,7732.08,7927.66,6347.08,8530.15,2019,02,22,4
2019-02-23,67.92,62.37,45.31,102.44,7028.42,7056.4,6051.26,7845.14,2019,02,23,5
2019-02-24,51.87,47.04,18.79,99.69,6812.88,6820.11,5775.98,7901.64,2019,02,24,6
2019-02-25,72.37,69.69,30.4,110.85,7733.48,8019.3,5978.48,8853.63,2019,02,25,0
2019-02-26,84.05,82.46,62.68,115.78,7968.17,8085.59,6223.12,9401.62,2019,02,26,1
2019-02-27,77.13,73.46,40.68,132.52,8092.87,8390.65,6228.43,9309.07,2019,02,27,2
2019-02-28,85.58,89.2,29.44,134.95,8395.02,8666.23,6427.53,9906.75,2019,02,28,3
2019-03-01,91.47,93.39,54.13,122.24,8391.44,8675.91,6555.97,9764.2,2019,03,01,4
2019-03-02,72.8,86.3,23.47,123.61,7745.05,7930.32,6469.09,8752.0,2019,03,02,5
2019-03-03,77.21,69.09,37.48,137.24,7747.07,7585.38,6269.85,9606.91,2019,03,03,6
2019-03-04,106.86,107.1,59.68,220.99,8821.61,8917.97,6416.16,11172.95,2019,03,04,0
2019-03-05,90.48,95.96,52.52,115.94,8902.29,9033.56,6648.53,10930.8,2019,03,05,1
2019-03-06,91.96,92.9,49.06,161.56,8571.78,8882.65,6493.42,10311.13,2019,03,06,2
2019-03-07,87.56,86.54,59.98,121.9,7720.38,7967.84,6285.07,8499.21,2019,03,07,3
2019-03-08,90.93,91.65,50.13,152.78,8219.43,8357.12,6340.81,9785.66,2019,03,08,4
2019-03-09,81.55,82.22,54.53,102.0,7559.91,7787.62,6376.12,8262.33,2019,03,09,5
2019-03-10,72.74,69.1,31.81,113.72,7706.69,7350.77,6098.79,9772.91,2019,03,10,6
2019-03-11,86.36,85.37,66.68,110.44,8479.53,8796.56,6334.54,10152.5,2019,03,11,0
2019-03-12,78.8,73.43,51.01,162.46,8805.03,8864.81,6576.68,10997.06,2019,03,12,1
2019-03-13,82.71,82.2,60.38,122.27,8078.26,8554.24,6374.03,8818.23,2019,03,13,2
2019-03-14,98.62,106.18,54.81,159.03,8287.62,8792.22,6403.47,9513.76,2019,03,14,3
2019-03-15,97.36,101.24,52.78,125.68,7692.15,8017.37,6296.02,8392.33,2019,03,15,4
2019-03-16,77.8,75.1,54.68,132.05,7161.89,7323.84,5959.59,7908.1,2019,03,16,5
2019-03-17,84.31,78.58,52.5,119.19,7128.47,7422.3,5863.48,8074.18,2019,03,17,6
2019-03-18,76.51,70.63,37.89,123.82,7658.25,8031.64,5850.42,8749.23,2019,03,18,0
2019-03-19,95.72,93.02,66.59,158.82,7859.67,8241.8,6114.3,8830.5,2019,03,19,1
2019-03-20,92.8,90.22,67.95,136.44,7995.36,8342.27,6179.64,9184.2,2019,03,20,2
2019-03-21,110.95,108.6,83.25,171.39,8027.05,8365.39,6184.31,9269.3,2019,03,21,3
2019-03-22,104.89,105.83,75.18,140.82,7893.94,8303.74,6188.62,8843.07,2019,03,22,4
2019-03-23,93.23,90.79,56.78,181.79,7314.95,7343.17,5899.23,8500.77,2019,03,23,5
2019-03-24,97.78,97.94,52.47,145.12,7535.06,7520.44,5969.84,9129.7,2019,03,24,6
2019-03-25,85.35,86.66,46.35,149.38,7889.2,8472.57,6043.87,8903.23,2019,03,25,0
2019-03-26,88.4,89.16,55.05,140.21,7576.49,7693.92,6064.91,8688.18,2019,03,26,1
2019-03-27,91.05,90.55,67.24,134.71,7631.84,7858.0,6164.83,8583.48,2019,03,27,2
2019-03-28,86.69,85.46,59.1,155.49,7815.88,7993.12,6213.21,8972.84,2019,03,28,3
2019-03-29,81.43,87.58,23.0,108.28,7865.05,8216.34,6148.26,8791.94,2019,03,29,4
2019-03-30,79.51,78.76,34.72,111.57,7067.43,7032.22,6158.62,7901.12,2019,03,30,5
2019-03-31,71.27,67.82,30.67,133.18,6548.92,6435.18,5591.05,7897.6,2019,03,31,6
2019-04-01,105.31,98.28,63.73,275.95,7460.91,7577.62,5956.24,8535.81,2019,04,01,0
2019-04-02,94.74,94.08,67.68,173.44,7646.28,7831.17,6112.72,8665.03,2019,04,02,1
2019-04-03,80.76,70.78,63.97,117.65,7634.0,7697.6,6216.13,8670.8,2019,04,03,2
2019-04-04,85.54,72.92,59.8,200.81,7745.59,8104.88,6060.96,8758.24,2019,04,04,3
2019-04-05,83.48,84.26,58.98,150.32,7691.22,7982.72,6203.58,8434.61,2019,04,05,4
2019-04-06,81.15,72.97,32.18,181.69,7097.65,7102.71,5989.21,8216.05,2019,04,06,5
2019-04-07,73.77,71.99,24.3,130.5,7009.17,6854.26,5900.04,8768.97,2019,04,07,6
2019-04-08,98.45,94.36,56.93,196.64,7857.72,7884.72,5978.87,9703.26,2019,04,08,0
2019-04-09,82.94,77.52,55.6,196.54,7697.12,7941.26,5912.02,9052.86,2019,04,09,1
2019-04-10,73.28,66.72,48.83,150.18,7557.29,7564.52,6094.9,9038.42,2019,04,10,2
2019-04-11,74.87,65.88,49.59,193.48,7674.06,7707.38,6232.5,9102.54,2019,04,11,3
2019-04-12,102.33,98.46,69.79,204.08,7615.67,7739.56,6273.18,8705.21,2019,04,12,4
2019-04-13,86.44,87.64,63.06,116.48,7027.58,7027.35,6082.64,8135.08,2019,04,13,5
2019-04-14,87.63,86.31,60.53,143.56,6823.57,6846.76,5768.07,8222.61,2019,04,14,6
2019-04-15,100.79,100.42,67.48,140.11,7386.14,7542.98,5886.15,8879.23,2019,04,15,0
2019-04-16,93.28,96.59,55.35,139.03,7551.9,7695.41,6008.14,8964.21,2019,04,16,1
2019-04-17,92.91,97.74,45.33,138.24,7642.92,7771.02,6084.61,9050.86,2019,04,17,2
2019-04-18,82.39,89.39,50.24,117.21,7592.68,7710.78,6158.87,8785.08,2019,04,18,3
2019-04-19,67.58,63.62,47.36,116.14,6801.21,6696.42,5877.3,8006.39,2019,04,19,4
2019-04-20,62.78,57.23,32.94,102.72,6804.4,6743.12,5766.37,8079.04,2019,04,20,5
2019-04-21,62.02,55.2,40.65,106.12,6655.32,6628.58,5701.45,7854.6,2019,04,21,6
2019-04-22,66.35,59.3,47.1,117.02,6850.98,6870.69,5741.62,8201.88,2019,04,22,0
2019-04-23,74.81,74.3,47.17,106.98,7486.81,7796.08,5878.77,8877.46,2019,04,23,1
2019-04-24,65.4,64.98,50.48,91.24,7440.75,7584.33,5999.19,8767.89,2019,04,24,2
2019-04-25,56.78,53.62,29.1,106.74,6854.57,6771.08,5867.27,8304.53,2019,04,25,3
2019-04-26,53.51,53.4,12.93,90.97,7183.25,7328.76,5678.68,8565.37,2019,04,26,4
2019-04-27,59.99,54.45,47.43,113.76,6895.11,6879.47,5935.9,8141.32,2019,04,27,5
2019-04-28,61.76,52.6,41.18,142.43,6810.18,6683.63,5802.61,8443.62,2019,04,28,6
2019-04-29,67.58,61.97,49.37,206.72,7647.07,7794.51,6036.18,9193.48,2019,04,29,0
2019-04-30,75.73,73.94,49.02,142.47,7727.14,7822.22,6258.93,9182.35,2019,04,30,1
2019-05-01,76.06,76.92,47.77,109.29,7813.09,8006.54,6119.86,9235.64,2019,05,01,2
2019-05-02,81.9,81.77,47.03,115.86,7849.49,8062.33,6172.71,9259.97,2019,05,02,3
