YEAR_MONTH_DAY,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH,DAY,WEEKDAY
2019-01-01,72.28,65.46,41.7,132.53,6147.79,5844.93,5358.91,7424.4,2019,01,01,1
2019-01-02,82.5,83.71,43.25,119.31,6500.49,6380.67,5353.03,7766.94,2019,01,02,2
2019-01-03,89.23,84.28,56.35,159.52,6629.44,6672.86,5450.28,7901.5,2019,01,03,3
2019-01-04,86.1,86.76,39.83,146.88,6646.68,6524.42,5669.54,7804.42,2019,01,04,4
2019-01-05,79.67,81.23,59.87,110.89,6400.6,6247.32,5526.08,7594.82,2019,01,05,5
2019-01-06,65.1,64.19,46.64,86.41,6403.96,6156.78,5502.48,7788.05,2019,01,06,6
2019-01-07,69.98,70.18,48.92,93.13,6797.47,6936.78,5615.74,7701.78,2019,01,07,0
2019-01-08,78.38,83.59,-8.83,116.08,6711.66,6791.66,5619.13,7794.36,2019,01,08,1
2019-01-09,87.76,85.07,54.94,131.34,6829.33,7018.63,5586.15,7902.0,2019,01,09,2
2019-01-10,83.78,84.48,59.66,109.56,6821.11,6928.06,5640.92,7921.0,2019,01,10,3
2019-01-11,77.89,81.33,48.29,123.52,6671.12,6756.12,5611.2,7743.45,2019,01,11,4
2019-01-12,81.15,71.22,35.5,169.22,6192.48,5905.55,5414.49,7384.16,2019,01,12,5
2019-01-13,65.9,57.9,39.67,113.42,6234.68,5982.59,5394.46,7644.22,2019,01,13,6
2019-01-14,97.33,99.51,56.85,163.95,6800.77,6819.74,5512.05,8099.01,2019,01,14,0
2019-01-15,112.19,105.7,60.85,233.89,6909.24,6845.66,5597.18,8268.29,2019,01,15,1
2019-01-16,124.85,111.92,82.43,217.47,7037.87,6901.85,5650.35,8552.82,2019,01,16,2
2019-01-17,121.54,107.04,80.42,242.97,7000.82,6962.73,5720.03,8407.19,2019,01,17,3
2019-01-18,105.5,104.35,77.34,189.13,6986.99,7028.48,5705.37,8366.88,2019,01,18,4
2019-01-19,79.05,78.11,59.49,110.01,6678.44,6494.72,5669.51,8056.87,2019,01,19,5
2019-01-20,70.8,67.57,37.19,111.2,6639.62,6334.67,5617.35,8198.76,2019,01,20,6
2019-01-21,100.08,104.0,57.97,175.32,7240.81,7277.18,5793.77,8670.58,2019,01,21,0
2019-01-22,122.85,110.76,62.63,225.66,7264.44,7317.54,5803.02,8665.13,2019,01,22,1
2019-01-23,115.1,103.11,67.24,215.57,7371.49,7414.92,5871.41,8811.16,2019,01,23,2
2019-01-24,100.02,90.38,60.76,186.15,7429.4,7399.04,5878.1,8915.4,2019,01,24,3
2019-01-25,123.34,99.33,69.35,271.85,7459.65,7637.69,6055.5,8790.94,2019,01,25,4
