YEAR_MONTH_DAY,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH,DAY,WEEKDAY
2019-01-01,77.76,76.71,46.01,129.53,1129.64,1118.47,718.3,1577.54,2019,01,01,1
2019-01-02,92.39,93.6,41.37,175.53,1364.46,1258.27,1001.83,1922.77,2019,01,02,2
2019-01-03,135.01,117.54,53.42,379.86,1816.12,1696.84,1188.94,2767.76,2019,01,03,3
2019-01-04,99.7,90.13,30.95,274.98,1437.5,1411.36,1204.94,1930.89,2019,01,04,4
2019-01-05,85.6,86.22,23.62,147.07,1038.18,1097.96,667.43,1395.75,2019,01,05,5
2019-01-06,68.91,68.88,52.04,130.1,1032.11,1103.22,651.23,1389.01,2019,01,06,6
2019-01-07,89.4,83.86,50.14,185.35,1225.29,1188.55,988.18,1501.04,2019,01,07,0
2019-01-08,104.5,95.12,72.87,165.01,1178.91,1206.5,915.55,1471.69,2019,01,08,1
2019-01-09,84.35,85.27,57.44,113.59,1122.95,1148.68,855.98,1383.94,2019,01,09,2
2019-01-10,89.67,86.53,51.87,176.23,1226.06,1204.23,961.08,1533.97,2019,01,10,3
2019-01-11,111.88,101.86,47.98,275.38,1588.4,1405.49,1167.07,2266.28,2019,01,11,4
2019-01-12,80.73,85.3,36.25,115.1,1245.08,1204.31,975.23,1672.25,2019,01,12,5
2019-01-13,65.72,52.68,9.17,127.45,1171.08,1072.02,781.53,1745.48,2019,01,13,6
2019-01-14,169.07,132.36,67.64,325.77,1777.91,1698.8,1166.24,2600.19,2019,01,14,0
2019-01-15,202.34,200.86,80.36,352.92,2001.57,1948.46,1404.28,2834.03,2019,01,15,1
2019-01-16,188.63,169.66,106.49,320.0,2023.73,1960.54,1363.39,2692.3,2019,01,16,2
2019-01-17,157.94,130.24,90.75,310.23,2053.41,2051.56,1463.87,2557.6,2019,01,17,3
2019-01-18,134.62,124.72,83.2,270.08,1516.29,1510.15,1282.44,1926.3,2019,01,18,4
2019-01-19,74.82,74.23,56.53,105.56,1164.2,1193.1,825.73,1471.57,2019,01,19,5
2019-01-20,83.18,77.44,32.17,141.7,1171.41,1096.18,784.42,1662.09,2019,01,20,6
2019-01-21,185.58,168.56,63.95,363.53,1659.16,1553.51,1149.19,2375.99,2019,01,21,0
2019-01-22,272.25,227.7,99.48,2537.91,1982.96,1925.41,1373.56,2698.61,2019,01,22,1
2019-01-23,159.45,144.5,101.04,320.28,2024.75,1959.5,1395.45,2777.84,2019,01,23,2
2019-01-24,3358.6,215.86,74.2,14500.0,2341.89,2438.36,1560.79,2994.29,2019,01,24,3
2019-01-25,548.75,194.27,88.02,11340.39,1866.24,1900.38,1466.32,2451.13,2019,01,25,4
2019-01-26,136.66,129.88,-55.28,297.05,1267.7,1290.29,978.4,1672.08,2019,01,26,5
2019-01-27,82.12,83.0,11.32,159.09,1079.55,1128.38,647.55,1482.04,2019,01,27,6
2019-01-28,125.47,99.42,72.19,262.69,1184.54,1165.9,768.36,1625.96,2019,01,28,0
2019-01-29,158.73,126.8,93.01,276.44,1492.62,1433.54,1220.98,1970.43,2019,01,29,1
2019-01-30,152.73,124.42,86.97,274.96,1599.74,1498.78,1224.05,2166.26,2019,01,30,2
2019-01-31,94.49,90.32,32.46,278.25,1211.41,1223.64,954.48,1450.42,2019,01,31,3
2019-02-01,103.25,93.7,58.0,188.92,1104.62,1122.16,807.17,1378.25,2019,02,01,4
2019-02-02,232.84,175.22,123.92,1553.9,1464.42,1242.3,1075.44,2276.2,2019,02,02,5
2019-02-03,165.98,142.23,96.8,299.75,1556.42,1520.73,1264.32,1927.6,2019,02,03,6
2019-02-04,95.36,94.93,73.21,155.6,1238.24,1229.99,1014.15,1484.55,2019,02,04,0
2019-02-05,75.34,81.74,-133.96,131.57,1259.95,1211.51,966.54,1690.24,2019,02,05,1
2019-02-06,137.77,126.34,74.81,299.38,1513.94,1487.87,1221.46,1830.21,2019,02,06,2
2019-02-07,143.28,131.22,59.42,287.54,1446.19,1418.68,1232.77,1781.15,2019,02,07,3
2019-02-08,88.47,92.22,-94.05,163.2,1190.18,1212.14,847.92,1490.14,2019,02,08,4
2019-02-09,43.21,56.02,-130.27,107.75,1003.01,1000.96,653.82,1324.42,2019,02,09,5
2019-02-10,93.17,90.17,54.95,159.01,1107.3,1127.06,680.74,1382.82,2019,02,10,6
2019-02-11,95.47,89.83,58.85,181.94,1186.27,1169.44,984.07,1454.59,2019,02,11,0
