YEAR_MONTH_DAY,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH,DAY,WEEKDAY
2019-01-01,87.65,83.45,66.69,131.59,1020.59,990.61,943.16,1161.05,2019,01,01,1
2019-01-02,101.66,98.52,80.81,169.57,1053.21,1046.4,964.33,1170.5,2019,01,02,2
2019-01-03,120.01,96.86,77.65,274.48,1052.23,1043.92,965.75,1156.85,2019,01,03,3
2019-01-04,93.35,101.58,-23.74,244.32,1036.37,1055.14,892.06,1185.94,2019,01,04,4
2019-01-05,108.94,110.76,62.47,178.66,1034.55,1044.34,903.0,1140.62,2019,01,05,5
2019-01-06,116.64,111.86,110.76,144.82,1047.88,1036.22,939.86,1153.12,2019,01,06,6
2019-01-07,117.09,111.86,78.39,287.58,1071.03,1068.2,938.72,1179.28,2019,01,07,0
2019-01-08,112.84,111.95,63.95,187.96,1080.8,1081.01,999.37,1183.27,2019,01,08,1
2019-01-09,110.92,107.6,107.08,126.0,1043.08,1037.39,926.32,1156.05,2019,01,09,2
2019-01-10,118.89,108.92,82.18,236.91,1091.61,1088.72,951.07,1206.46,2019,01,10,3
2019-01-11,139.47,118.24,92.32,290.76,1065.83,1052.6,984.01,1165.51,2019,01,11,4
2019-01-12,126.31,114.32,108.1,256.23,1051.27,1053.91,978.77,1130.99,2019,01,12,5
2019-01-13,124.98,125.32,110.64,141.14,1052.43,1030.47,970.08,1177.27,2019,01,13,6
2019-01-14,128.52,127.38,-169.34,256.38,1085.06,1088.95,933.37,1215.13,2019,01,14,0
2019-01-15,206.15,191.7,112.08,477.87,1166.15,1193.53,953.33,1338.31,2019,01,15,1
2019-01-16,185.26,158.92,100.39,386.69,1119.15,1125.14,1018.56,1224.18,2019,01,16,2
2019-01-17,158.95,134.45,102.31,286.53,1129.34,1149.49,984.68,1248.6,2019,01,17,3
2019-01-18,151.44,126.04,68.25,641.74,1092.83,1097.34,986.42,1198.62,2019,01,18,4
2019-01-19,120.64,120.1,119.84,127.69,1030.43,1020.69,895.79,1119.0,2019,01,19,5
2019-01-20,128.13,124.48,119.6,147.82,1049.13,1060.76,881.38,1163.83,2019,01,20,6
2019-01-21,180.38,150.27,120.22,314.4,1150.98,1150.69,1018.25,1284.23,2019,01,21,0
2019-01-22,249.94,194.1,-53.13,2197.36,1150.08,1149.8,1001.87,1271.84,2019,01,22,1
2019-01-23,253.55,135.39,113.54,2616.41,1054.77,1051.88,944.75,1156.96,2019,01,23,2
2019-01-24,107.7,130.42,-145.31,271.5,1050.06,1051.22,976.56,1124.27,2019,01,24,3
2019-01-25,182.71,203.33,-0.75,474.1,1109.32,1095.08,927.61,1274.3,2019,01,25,4
2019-01-26,218.23,222.54,161.74,317.67,1093.32,1095.26,990.27,1192.9,2019,01,26,5
2019-01-27,126.57,141.38,-0.73,271.0,977.5,988.36,716.21,1072.06,2019,01,27,6
2019-01-28,115.44,95.85,-0.72,323.55,1077.54,1059.86,975.34,1240.31,2019,01,28,0
2019-01-29,77.96,104.98,-0.74,260.47,1126.7,1124.3,1038.75,1208.11,2019,01,29,1
2019-01-30,274.73,175.78,97.1,2484.14,1144.34,1143.34,1010.78,1261.89,2019,01,30,2
2019-01-31,239.0,137.34,114.1,627.39,1055.92,1060.12,967.44,1161.78,2019,01,31,3
2019-02-01,158.96,151.24,133.49,274.24,1120.22,1120.2,1055.4,1214.98,2019,02,01,4
2019-02-02,183.86,158.9,-245.61,363.29,1051.9,1035.51,990.86,1151.65,2019,02,02,5
2019-02-03,191.34,162.06,102.75,343.55,1093.67,1094.11,997.92,1204.21,2019,02,03,6
2019-02-04,163.2,156.32,124.9,335.96,1026.18,1027.56,873.53,1125.92,2019,02,04,0
2019-02-05,157.87,149.75,128.57,476.14,1000.37,1000.82,899.01,1115.0,2019,02,05,1
2019-02-06,121.03,130.99,53.49,159.84,961.42,979.66,797.33,1080.53,2019,02,06,2
2019-02-07,164.57,150.46,119.66,252.67,1069.79,1097.33,885.63,1228.23,2019,02,07,3
2019-02-08,105.68,105.34,35.84,149.93,971.86,976.92,840.04,1070.84,2019,02,08,4
2019-02-09,102.72,133.6,15.82,146.85,936.11,925.14,852.72,1077.11,2019,02,09,5
2019-02-10,97.4,91.62,56.37,145.55,937.27,937.8,833.62,1040.4,2019,02,10,6
2019-02-11,102.39,98.06,72.64,161.95,970.01,977.92,830.26,1078.07,2019,02,11,0
2019-02-12,164.42,113.2,11.53,3047.97,943.8,951.82,801.13,1061.04,2019,02,12,1
2019-02-13,105.0,102.06,37.56,150.88,971.45,956.9,826.16,1127.94,2019,02,13,2
2019-02-14,107.1,106.14,61.6,157.88,1005.76,1007.81,872.72,1131.65,2019,02,14,3
2019-02-15,126.45,127.5,83.11,172.7,1036.49,1035.32,871.67,1227.16,2019,02,15,4
2019-02-16,175.12,151.92,132.28,495.9,1040.73,1051.89,918.33,1130.9,2019,02,16,5
2019-02-17,143.28,138.23,89.87,260.64,1036.77,1037.71,947.15,1112.32,2019,02,17,6
2019-02-18,129.11,132.03,69.8,205.15,1013.56,1016.76,863.64,1156.47,2019,02,18,0
2019-02-19,124.71,134.02,88.31,151.95,1018.51,1000.98,896.69,1175.11,2019,02,19,1
2019-02-20,125.02,137.99,71.83,143.16,1021.73,1004.68,912.76,1203.76,2019,02,20,2
2019-02-21,123.34,124.82,88.73,185.31,1043.98,1038.87,915.52,1185.62,2019,02,21,3
2019-02-22,138.18,140.43,102.26,151.01,1060.72,1050.64,949.33,1253.98,2019,02,22,4
2019-02-23,137.54,135.84,133.62,145.72,1040.42,1036.78,910.69,1163.25,2019,02,23,5
2019-02-24,136.33,139.99,93.1,162.31,928.31,924.44,829.38,1013.55,2019,02,24,6
2019-02-25,136.93,128.95,88.27,281.9,1037.4,1036.06,848.93,1213.2,2019,02,25,0
2019-02-26,129.18,134.73,84.1,161.53,1019.63,1009.65,939.96,1136.14,2019,02,26,1
