YEAR_MONTH_DAY,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH,DAY,WEEKDAY
2019-01-01,76.31,74.28,44.74,131.3,4114.47,4040.78,3586.21,5073.35,2019,01,01,1
2019-01-02,90.43,94.42,43.01,172.15,4436.28,4499.67,3560.56,5218.33,2019,01,02,2
2019-01-03,118.89,104.76,57.39,297.02,4949.57,4754.24,3638.3,6570.17,2019,01,03,3
2019-01-04,110.13,98.61,19.95,291.32,5553.69,5253.8,3839.5,8008.76,2019,01,04,4
2019-01-05,82.21,81.17,26.09,154.59,4052.62,4051.72,3620.67,4460.3,2019,01,05,5
2019-01-06,65.23,64.03,49.98,111.09,3900.26,3727.41,3527.52,4555.98,2019,01,06,6
2019-01-07,83.36,78.4,48.64,169.04,4578.12,4654.96,3567.04,5361.31,2019,01,07,0
2019-01-08,104.62,104.14,71.9,151.11,4726.92,4877.9,3880.05,5329.46,2019,01,08,1
2019-01-09,91.0,94.28,60.33,124.13,4395.14,4437.78,3643.77,4821.35,2019,01,09,2
2019-01-10,94.68,95.52,57.61,168.65,4503.28,4555.94,3729.52,5106.07,2019,01,10,3
2019-01-11,109.34,103.97,48.85,265.96,4988.69,4898.62,3742.97,6359.72,2019,01,11,4
2019-01-12,87.48,90.33,36.77,167.67,4526.21,4638.76,3933.71,5053.42,2019,01,12,5
2019-01-13,69.48,56.82,8.95,136.96,4243.88,3976.24,3320.32,5867.49,2019,01,13,6
2019-01-14,173.66,144.3,65.72,343.24,6127.94,5970.24,3995.38,8466.84,2019,01,14,0
2019-01-15,208.89,199.34,85.18,322.9,6354.01,6396.58,4384.48,8097.57,2019,01,15,1
2019-01-16,176.36,154.32,103.5,297.07,5707.16,5871.8,4375.11,7089.41,2019,01,16,2
2019-01-17,169.61,135.53,91.9,311.37,6050.48,6361.31,4197.71,7375.4,2019,01,17,3
2019-01-18,136.23,124.79,94.95,270.18,5620.76,5631.23,4427.16,6756.31,2019,01,18,4
2019-01-19,80.4,78.04,60.75,110.02,4237.19,4205.23,3794.52,4769.02,2019,01,19,5
2019-01-20,83.28,76.16,35.03,143.68,4261.8,4127.19,3589.78,5289.15,2019,01,20,6
2019-01-21,166.1,147.62,64.31,304.72,5438.25,5442.85,3854.11,7190.74,2019,01,21,0
2019-01-22,255.32,209.64,94.23,2642.27,5893.53,5861.28,4124.34,7725.08,2019,01,22,1
2019-01-23,153.23,137.38,102.55,287.89,5229.21,5393.47,3906.88,6423.2,2019,01,23,2
2019-01-24,3377.32,206.2,83.51,14500.0,6495.47,6313.97,4046.03,9281.15,2019,01,24,3
2019-01-25,751.04,272.52,105.77,14500.0,7037.29,7119.16,4978.63,9075.69,2019,01,25,4
2019-01-26,165.55,156.17,84.81,299.96,4784.11,4699.82,4150.25,5786.63,2019,01,26,5
2019-01-27,85.62,85.9,11.66,172.4,4158.4,3991.12,3801.47,4772.34,2019,01,27,6
2019-01-28,138.67,106.93,72.63,293.33,4682.28,4354.0,3640.15,6356.81,2019,01,28,0
2019-01-29,172.05,128.84,101.43,300.0,5768.98,5793.14,3921.39,7603.42,2019,01,29,1
2019-01-30,176.44,149.7,95.5,300.0,5921.39,5799.14,4119.54,8292.43,2019,01,30,2
2019-01-31,106.26,105.39,38.51,290.0,4594.88,4752.7,3854.87,5118.59,2019,01,31,3
2019-02-01,115.87,112.21,68.95,213.91,4350.95,4349.89,3581.55,4953.34,2019,02,01,4
2019-02-02,223.37,161.16,78.15,1446.87,5197.88,4834.92,3711.8,7355.59,2019,02,02,5
2019-02-03,180.31,149.17,101.65,308.86,5553.65,5287.47,4048.98,7468.97,2019,02,03,6
2019-02-04,108.14,111.0,76.23,163.06,4965.37,5260.69,3883.83,5580.24,2019,02,04,0
2019-02-05,89.28,93.2,29.75,135.37,4987.59,5175.4,3701.57,5878.48,2019,02,05,1
2019-02-06,134.75,121.75,65.87,292.68,5854.08,5758.08,4029.42,7899.53,2019,02,06,2
2019-02-07,143.74,136.0,56.19,268.27,5899.73,6092.16,4291.15,7450.84,2019,02,07,3
2019-02-08,106.85,107.89,66.12,169.45,4888.65,5015.75,4080.95,5441.8,2019,02,08,4
2019-02-09,42.38,53.17,-57.34,98.77,3986.2,4027.16,3576.81,4462.95,2019,02,09,5
2019-02-10,84.42,78.36,54.34,142.22,3949.45,3859.48,3458.91,4695.56,2019,02,10,6
2019-02-11,97.7,93.44,69.13,162.55,4753.57,4937.17,3745.1,5489.17,2019,02,11,0
2019-02-12,56.02,62.75,8.29,104.67,4487.38,4604.0,3710.58,4992.15,2019,02,12,1
2019-02-13,84.1,89.82,14.88,115.64,4445.54,4528.65,3667.4,5088.37,2019,02,13,2
