YEAR_MONTH,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH
2019-01,117.49,93.97,36.75,4631.98,8984.94,8817.36,5973.27,13700.9,2019,01
2019-02,89.21,85.51,15.54,303.96,8188.78,8169.96,5775.98,12226.27,2019,02
2019-03,87.91,87.56,23.0,220.99,7861.22,7920.05,5591.05,11172.95,2019,03
2019-04,78.48,74.13,12.93,275.95,7328.94,7433.96,5678.68,9703.26,2019,04
2019-05,79.1,75.42,33.37,289.71,7869.72,7867.69,5818.0,11209.02,2019,05
2019-06,91.31,77.04,6.48,1095.59,8628.0,8578.27,6095.49,12112.84,2019,06
2019-07,71.57,65.62,2.98,276.61,8568.12,8507.08,6372.63,11379.76,2019,07
2019-08,83.98,69.76,-9.51,369.86,8401.73,8288.67,6176.72,11221.11,2019,08
2019-09,95.65,79.96,-15.78,319.17,7488.1,7419.52,5656.62,10887.57,2019,09
2019-10,101.79,90.66,0.0,310.87,7203.56,7224.37,5729.21,9514.79,2019,10
2019-11,69.92,68.78,8.72,277.62,7410.56,7397.74,5695.18,10655.79,2019,11
2019-12,52.09,50.48,17.01,215.08,7631.23,7548.64,5634.88,11638.99,2019,12
2020-01,152.3,50.39,5.44,14700.0,8263.11,8051.78,5765.85,13330.14,2020,01
2020-02,57.52,49.26,11.94,2559.22,7947.36,7849.02,5822.36,13634.63,2020,02
2020-03,46.16,43.72,1.33,200.64,7341.96,7341.31,5599.99,11344.04,2020,03
2020-04,40.38,39.42,-19.41,300.78,6926.29,6983.9,5384.58,9471.04,2020,04
2020-05,41.95,38.4,-4.91,276.78,7791.98,7759.74,5675.34,11148.12,2020,05
2020-06,48.09,38.41,0.0,2195.55,8490.79,8426.12,5932.1,11980.08,2020,06
2020-07,47.97,41.74,-12.84,299.6,8690.14,8667.85,5678.37,11739.02,2020,07
2020-08,49.86,40.28,-3.23,1908.02,8300.88,8157.69,5630.73,11908.24,2020,08
2020-09,41.0,38.33,-3.56,299.99,7255.07,7172.2,5640.8,10255.73,2020,09
2020-10,57.87,43.24,-1.91,4502.26,6955.87,7001.59,5221.13,9324.77,2020,10
2020-11,62.49,42.67,5.74,7550.0,7326.07,7200.85,5489.36,12401.82,2020,11
2020-12,71.37,39.25,-139.93,10034.46,7215.93,7140.16,5299.66,11224.11,2020,12
2021-01,38.85,35.77,-1.26,299.99,7570.62,7395.38,5457.08,12197.57,2021,01
2021-02,35.12,35.08,-4.02,163.19,7469.14,7507.64,5704.44,10177.59,2021,02
2021-03,38.97,35.47,4.25,255.61,7320.09,7340.44,5468.27,11404.28,2021,03
2021-04,55.71,39.04,-41.99,2673.52,7167.05,7138.84,5170.46,9605.85,2021,04
2021-05,117.51,46.58,6.95,7651.8,7846.71,7734.2,5848.51,10588.39,2021,05
2021-06,160.1,76.69,-85.28,8022.05,8814.16,8705.32,6493.13,12863.76,2021,06
2021-07,124.02,74.41,-96.28,5176.53,8734.18,8563.19,6424.44,12396.95,2021,07
2021-08,60.14,55.0,-92.69,299.98,7806.37,7655.67,5189.86,12040.28,2021,08
2021-09,48.92,51.54,-51.11,299.98,7066.71,6965.92,4767.17,10236.28,2021,09
2021-10,57.12,59.96,-80.0,910.63,6722.9,6716.98,4286.19,9331.65,2021,10
2021-11,64.44,60.75,-60.38,15100.0,6944.0,6989.36,4962.66,8885.21,2021,11
2021-12,67.95,65.03,-1000.0,1175.71,7146.57,7088.76,5200.2,11196.03,2021,12
2022-01,77.17,76.57,-322.46,299.99,7623.84,7562.05,5604.14,11603.27,2022,01
2022-02,83.03,79.02,-1000.0,15100.0,7529.01,7427.32,5318.28,12518.02,2022,02
2022-03,100.68,97.94,-86.86,8574.44,7351.08,7395.73,5153.04,9691.24,2022,03
2022-04,186.84,170.01,-45.0,2258.16,7065.35,7086.41,4995.58,9449.51,2022,04
2022-05,320.48,299.22,-38.82,15100.0,7809.92,7725.8,5432.63,11860.43,2022,05
2022-06,398.04,352.0,-44.33,15100.0,8840.95,8629.82,6162.16,12249.16,2022,06
2022-07,371.2,352.56,-43.63,15500.0,8905.53,8844.08,6105.59,12415.43,2022,07
2022-08,148.32,148.99,-55.0,502.53,8248.46,8094.86,5287.63,12141.49,2022,08
2022-09,153.87,161.0,-79.74,1025.2,7516.14,7442.18,4196.88,10902.13,2022,09
