YEAR_MONTH,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH
2019-01,93.93,86.74,-8.83,312.12,6821.97,6803.05,5353.03,8915.4,2019,01
2019-02,84.1,83.58,16.65,217.47,6814.0,6750.83,5383.24,9988.09,2019,02
2019-03,80.89,79.91,-4.9,188.31,6731.84,6657.92,4804.47,9323.04,2019,03
2019-04,68.64,64.65,6.99,216.37,6021.34,6017.98,5060.06,7654.69,2019,04
2019-05,72.79,68.0,8.38,258.43,6013.01,6011.36,4578.55,7586.47,2019,05
2019-06,85.02,70.9,-261.3,1223.28,6094.35,5969.62,4791.23,8074.82,2019,06
2019-07,66.17,61.92,-492.59,263.22,5935.47,5788.38,4318.74,7884.64,2019,07
2019-08,61.68,58.2,-142.72,259.62,5754.84,5618.42,4173.36,7478.16,2019,08
2019-09,58.57,56.11,-859.85,4385.62,5675.08,5518.9,4246.64,7291.57,2019,09
2019-10,74.16,72.58,-821.84,281.61,5835.85,5738.8,4442.02,7875.28,2019,10
2019-11,61.09,62.62,-217.84,280.03,6249.08,6086.09,4587.18,8440.97,2019,11
2019-12,54.83,51.84,15.19,340.45,6652.01,6413.47,5044.05,9395.25,2019,12
2020-01,66.78,50.18,-121.06,2295.63,6940.98,6824.81,5407.7,9620.91,2020,01
2020-02,53.83,48.4,11.63,348.38,6952.51,6897.96,5408.59,9801.92,2020,02
2020-03,41.27,39.34,-178.76,669.17,6307.7,6160.06,4991.22,9161.13,2020,03
2020-04,36.99,37.34,-22.04,287.15,5916.5,5784.42,4480.52,7722.78,2020,04
2020-05,31.18,34.91,-701.65,317.47,5698.92,5571.41,4287.62,7694.34,2020,05
2020-06,33.71,32.66,-52.84,837.33,5892.6,5725.94,4549.28,7782.9,2020,06
2020-07,38.23,36.0,-138.3,442.82,5925.45,5783.27,4216.62,8148.44,2020,07
2020-08,30.45,32.74,-172.5,328.05,5575.41,5385.65,3922.1,7796.62,2020,08
2020-09,27.37,30.36,-159.06,291.21,5522.87,5354.31,3748.24,7427.7,2020,09
