YEAR_MONTH,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH
2019-01,241.11,103.89,-55.28,14500.0,1483.94,1367.39,647.55,2994.29,2019,01
2019-02,110.71,103.8,-133.96,1553.9,1348.05,1287.87,653.82,2696.43,2019,02
2019-03,131.59,102.35,-42.18,12609.08,1315.94,1280.36,787.68,2852.53,2019,03
2019-04,93.88,99.03,-147.72,302.93,1200.28,1203.04,653.15,1819.29,2019,04
2019-05,84.86,87.26,-148.44,283.89,1285.57,1248.48,828.51,2009.36,2019,05
2019-06,95.73,96.13,-171.8,332.18,1420.01,1376.01,649.29,2406.77,2019,06
2019-07,73.9,82.16,-716.67,1633.62,1395.79,1368.42,611.41,2229.02,2019,07
2019-08,78.75,82.04,-839.51,1452.64,1409.71,1383.53,599.59,2334.66,2019,08
2019-09,72.97,77.69,-850.0,345.97,1209.38,1207.72,507.81,2007.03,2019,09
2019-10,67.36,82.74,-850.0,326.82,1126.31,1144.57,431.78,2055.42,2019,10
2019-11,50.87,65.14,-900.47,1078.17,1111.45,1150.7,389.55,2623.44,2019,11
2019-12,84.01,54.7,-166.09,14700.0,1348.72,1263.25,539.1,3107.74,2019,12
2020-01,83.17,54.55,-292.43,12217.13,1268.53,1212.78,440.54,3085.49,2020,01
2020-02,64.06,50.84,-919.78,4226.99,1207.93,1222.34,544.09,2058.86,2020,02
2020-03,47.12,43.77,-299.93,7026.84,1170.24,1187.97,388.59,2139.21,2020,03
2020-04,33.52,38.19,-167.7,315.96,1161.6,1177.78,503.67,1841.85,2020,04
2020-05,37.25,38.33,-188.24,265.77,1331.51,1306.3,652.92,2150.5,2020,05
2020-06,50.27,41.33,-70.6,2549.63,1509.26,1468.08,771.24,2497.43,2020,06
2020-07,59.31,57.77,-148.23,305.61,1514.65,1489.76,765.27,2383.18,2020,07
2020-08,45.58,45.1,-221.12,1886.65,1417.43,1407.41,438.66,2374.45,2020,08
2020-09,15.22,32.38,-528.5,264.02,1169.47,1177.25,337.53,2043.15,2020,09
2020-10,32.97,40.3,-220.47,322.17,1095.35,1140.5,288.92,1955.46,2020,10
2020-11,36.73,41.0,-201.76,329.62,1134.04,1150.32,288.15,2589.3,2020,11
2020-12,16.79,31.76,-679.3,284.11,1062.08,1117.2,284.51,2364.64,2020,12
2021-01,28.71,32.38,-205.73,5031.04,1185.13,1185.42,369.76,2649.76,2021,01
2021-02,22.43,31.41,-520.47,252.2,1198.95,1203.28,291.29,2742.16,2021,02
2021-03,68.81,34.14,-628.65,14348.15,1130.01,1176.9,353.22,1769.51,2021,03
2021-04,52.14,45.62,-158.28,371.01,1163.95,1181.51,479.9,1795.81,2021,04
2021-05,73.02,51.32,-170.08,7038.75,1298.25,1281.09,521.21,2122.8,2021,05
2021-06,84.32,81.72,-183.33,2348.71,1432.78,1414.14,668.47,2241.37,2021,06
2021-07,91.18,78.92,-269.95,2102.13,1463.64,1422.07,669.47,2483.73,2021,07
2021-08,43.45,50.99,-297.81,336.6,1320.76,1307.06,371.49,2227.62,2021,08
2021-09,18.82,26.91,-432.77,298.5,1155.02,1173.62,198.86,1971.82,2021,09
2021-10,14.54,9.03,-1000.0,15100.0,1002.03,1085.06,117.27,1673.34,2021,10
2021-11,37.69,42.8,-1000.0,15100.0,1013.86,1103.7,-46.35,1984.41,2021,11
2021-12,70.31,37.72,-1000.0,15100.0,1065.02,1164.46,89.02,2429.54,2021,12
2022-01,88.94,63.68,-1000.0,15100.0,1312.37,1324.11,233.77,2572.04,2022,01
2022-02,54.22,65.21,-1000.0,4031.78,1275.68,1341.84,179.67,2355.84,2022,02
2022-03,67.01,75.2,-1000.0,15100.0,1261.34,1316.96,276.62,2358.58,2022,03
2022-04,152.34,148.99,-953.44,15011.88,1223.39,1272.31,310.46,1755.26,2022,04
2022-05,312.31,266.46,-1000.0,15100.0,1381.72,1395.14,519.52,2363.33,2022,05
2022-06,302.57,298.7,-615.28,15100.0,1581.98,1565.24,652.78,2388.35,2022,06
2022-07,372.51,369.76,-1000.0,14091.15,1622.72,1602.8,508.83,2467.42,2022,07
2022-08,173.04,128.8,-1000.0,15500.0,1532.56,1533.04,327.0,2514.26,2022,08
2022-09,147.84,137.8,-1000.0,15500.0,1356.58,1400.6,161.15,2194.06,2022,09
2022-10,93.5,120.84,-1000.0,12922.49,1137.59,1229.74,61.09,1911.88,2022,10
2022-11,62.51,39.15,-1000.0,15500.0,1133.21,1223.2,66.19,2047.16,2022,11
2022-12,35.43,23.08,-1000.0,12523.61,1135.0,1240.97,119.6,2834.54,2022,12
