YEAR_MONTH,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH
2019-01,147.91,123.22,-169.34,2616.41,1076.28,1072.58,716.21,1338.31,2019,01
2019-02,134.82,137.44,-245.61,3047.97,1008.3,1009.57,797.33,1253.98,2019,02
2019-03,123.42,123.88,-614.5,2569.08,1039.65,1040.37,749.05,1366.0,2019,03
2019-04,104.73,109.67,20.75,750.12,1062.32,1050.94,826.92,1400.25,2019,04
2019-05,92.55,95.2,-0.44,2656.29,1169.0,1161.79,877.24,1530.71,2019,05
2019-06,96.83,95.57,-0.69,3631.07,1272.34,1268.97,941.32,1726.97,2019,06
2019-07,74.76,84.0,-316.79,1820.24,1231.78,1234.56,910.65,1628.73,2019,07
2019-08,70.08,82.95,-142.81,1084.27,1192.33,1171.82,846.31,1618.84,2019,08
2019-09,57.55,48.32,-22.46,1481.07,1076.75,1059.4,779.52,1440.98,2019,09
2019-10,107.68,99.38,3.46,2587.22,1002.36,988.64,757.2,1398.31,2019,10
2019-11,68.3,62.29,-40.03,4551.39,1030.42,1024.7,786.43,1270.31,2019,11
2019-12,52.17,51.78,-106.52,301.57,1009.56,1005.26,778.2,1282.07,2019,12
2020-01,56.9,59.28,-844.65,255.74,1040.33,1036.17,794.25,1298.63,2020,01
2020-02,39.06,41.04,-189.41,2452.79,1024.73,1018.83,730.84,1282.03,2020,02
2020-03,37.4,39.5,-94.25,339.37,1006.79,1007.77,715.07,1323.67,2020,03
2020-04,23.37,19.19,-38.83,427.4,1093.92,1087.11,843.31,1379.49,2020,04
2020-05,34.76,30.6,-67.66,2678.09,1159.9,1154.48,840.34,1540.93,2020,05
2020-06,36.41,33.01,-59.19,2550.52,1221.48,1219.18,896.05,1602.19,2020,06
2020-07,56.58,50.39,-9.51,2555.35,1246.58,1240.32,887.09,1597.64,2020,07
2020-08,55.77,51.54,-34.09,378.98,1190.09,1178.34,829.09,1667.57,2020,08
2020-09,37.52,36.49,-27.82,362.48,1130.64,1108.79,821.17,1478.79,2020,09
2020-10,41.5,39.93,-68.43,2557.01,1087.3,1068.38,842.78,1447.61,2020,10
2020-11,59.37,50.81,-35.58,2671.93,1016.02,1008.04,677.4,1249.94,2020,11
2020-12,36.86,39.7,-70.53,2656.84,1033.61,1026.02,824.82,1330.01,2020,12
2021-01,37.82,35.38,-59.2,2537.34,1034.21,1033.33,830.9,1267.9,2021,01
2021-02,31.99,30.72,-39.81,2945.45,1010.5,1009.7,810.68,1262.72,2021,02
2021-03,30.77,28.02,-18.13,470.42,1028.07,1019.14,800.6,1315.57,2021,03
2021-04,25.34,25.36,-69.49,273.29,1114.42,1100.51,872.97,1488.79,2021,04
2021-05,41.25,35.07,-69.47,2165.37,1210.04,1201.84,913.96,1671.55,2021,05
2021-06,68.86,57.11,-47.98,2386.31,1277.09,1279.45,933.92,1647.89,2021,06
2021-07,38.18,28.58,-47.66,1407.69,1286.81,1283.84,988.24,1663.27,2021,07
2021-08,21.46,22.4,-37.26,171.67,1274.3,1261.4,940.82,1673.67,2021,08
2021-09,16.51,20.9,-40.98,269.77,1208.82,1195.54,960.79,1541.24,2021,09
2021-10,9.38,8.01,-61.56,449.13,1124.65,1109.94,841.86,1525.43,2021,10
2021-11,31.76,30.75,-170.0,649.49,1069.15,1059.89,741.49,1427.32,2021,11
2021-12,49.85,53.26,-170.0,449.56,1071.55,1069.74,727.85,1299.29,2021,12
2022-01,62.54,59.32,-77.79,449.72,1091.75,1089.03,859.67,1305.56,2022,01
2022-02,72.21,64.19,-47.01,15100.0,1112.81,1106.72,841.18,1344.79,2022,02
2022-03,74.83,73.25,-47.01,6734.17,1113.6,1108.69,825.69,1398.24,2022,03
2022-04,141.26,145.63,-48.98,461.87,1136.19,1124.03,854.82,1421.72,2022,04
2022-05,217.19,224.55,-44.9,15100.0,1206.25,1188.49,846.09,1584.48,2022,05
2022-06,286.74,204.17,-48.77,15100.0,1298.8,1295.69,881.93,1733.0,2022,06
2022-07,322.86,304.52,-47.0,5912.85,1298.11,1286.74,994.2,1693.01,2022,07
2022-08,149.51,127.26,-47.0,2978.07,1233.88,1225.5,812.89,1713.13,2022,08
2022-09,132.72,122.18,-9.71,3059.4,1169.61,1158.78,847.55,1578.61,2022,09
2022-10,122.02,131.39,-122.26,15500.0,1146.43,1135.24,619.99,1489.96,2022,10
2022-11,100.98,59.28,-206.89,15500.0,1076.24,1064.56,785.3,1414.01,2022,11
2022-12,76.36,83.85,-51.65,15493.4,1082.55,1079.82,770.52,1398.93,2022,12
2023-01,86.86,83.62,-50.0,450.26,1082.77,1084.96,764.99,1315.44,2023,01
2023-02,81.53,84.71,-47.0,3450.0,1096.6,1088.24,635.06,1331.48,2023,02
2023-03,72.35,80.2,-61.12,15500.0,1074.61,1064.8,811.04,1415.72,2023,03
