YEAR_MONTH,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,MONTH
2019-01,250.41,109.94,8.95,14500.0,5075.88,4730.98,3320.32,9281.15,2019,01
2019-02,111.17,106.6,-57.34,1446.87,4839.17,4687.3,3458.91,8665.64,2019,02
2019-03,131.09,104.96,7.46,12634.81,4859.18,4670.73,3399.0,9289.5,2019,03
2019-04,98.47,102.42,-12.0,290.0,4526.1,4529.23,3260.98,6185.94,2019,04
2019-05,91.9,94.58,-0.46,284.75,4966.09,4964.24,3420.13,7358.98,2019,05
2019-06,101.83,100.05,-11.71,314.4,5402.0,5357.59,3461.4,7464.06,2019,06
2019-07,85.9,90.73,-38.81,2033.57,5373.17,5405.06,3644.39,7262.48,2019,07
2019-08,104.91,94.64,-96.6,1807.74,5327.78,5321.15,3366.14,7316.11,2019,08
2019-09,104.79,90.92,-202.08,363.72,4845.14,4817.08,3455.29,6983.84,2019,09
2019-10,100.72,93.55,-166.08,299.99,4622.78,4587.61,3058.2,6684.43,2019,10
2019-11,67.99,67.95,-68.86,294.53,4516.36,4467.64,3164.12,7691.81,2019,11
2019-12,61.37,51.61,-56.0,6442.9,4597.46,4403.82,3136.49,9113.24,2019,12
2020-01,142.97,52.26,-304.15,14700.0,4764.37,4564.75,3060.58,9507.26,2020,01
2020-02,48.3,46.26,-9.73,251.2,4764.57,4666.05,3466.48,7644.42,2020,02
2020-03,43.31,43.53,-11.59,191.17,4529.58,4480.84,3323.48,6423.64,2020,03
2020-04,34.86,37.15,-46.9,299.99,4485.31,4453.18,3094.45,6515.96,2020,04
2020-05,38.29,37.22,-47.2,274.08,4916.07,4881.95,3340.51,6872.1,2020,05
2020-06,48.64,39.98,-8.62,2303.31,5389.47,5350.34,3437.3,7501.2,2020,06
2020-07,63.57,59.62,-11.5,311.58,5514.67,5497.72,3816.7,7354.11,2020,07
2020-08,53.71,47.68,-48.72,1837.24,5144.82,5074.71,3054.77,7478.68,2020,08
2020-09,34.66,35.82,-43.38,284.66,4521.47,4498.4,2712.53,6511.22,2020,09
2020-10,44.78,41.34,-64.31,311.33,4380.12,4325.25,2975.43,6142.91,2020,10
2020-11,44.08,42.78,-191.13,296.47,4463.12,4412.72,2703.35,7200.32,2020,11
2020-12,23.79,31.18,-676.37,261.97,4298.95,4252.74,2307.07,7899.76,2020,12
2021-01,22.83,30.56,-56.97,225.15,4540.18,4389.35,2708.53,8196.83,2021,01
2021-02,21.85,28.95,-54.75,173.15,4640.5,4517.48,3112.73,7804.22,2021,02
2021-03,30.35,29.99,-28.14,253.79,4557.34,4530.88,2913.99,6115.65,2021,03
2021-04,49.47,38.25,-69.16,330.35,4714.07,4662.8,3252.72,6632.03,2021,04
2021-05,72.87,44.2,-66.3,7443.23,4991.51,4966.62,3410.09,7042.12,2021,05
2021-06,87.88,77.66,-299.76,2642.65,5339.13,5270.52,3631.8,7286.57,2021,06
2021-07,91.69,67.74,-70.28,2618.09,5576.25,5549.86,3550.08,7685.69,2021,07
2021-08,47.01,46.55,-156.35,317.75,5025.99,5014.04,2713.18,7197.61,2021,08
2021-09,27.76,28.46,-67.68,315.42,4539.58,4488.04,2548.27,6830.54,2021,09
2021-10,18.45,9.18,-123.99,454.57,4339.39,4297.49,2227.09,5891.84,2021,10
2021-11,35.01,40.5,-999.7,334.73,4308.68,4298.52,2143.94,6646.46,2021,11
2021-12,32.23,30.54,-94.21,365.37,4220.49,4162.98,2123.24,7547.38,2021,12
2022-01,60.82,57.0,-101.95,15100.0,4934.06,4659.13,2624.14,8406.29,2022,01
2022-02,54.17,64.86,-1000.0,338.46,4501.9,4424.82,2675.92,7129.71,2022,02
2022-03,54.79,67.46,-176.22,319.87,4634.72,4552.51,2750.7,7587.76,2022,03
2022-04,141.49,140.86,-58.32,2001.49,4489.8,4488.01,2534.07,6269.12,2022,04
2022-05,233.64,252.0,-53.35,4452.38,5161.63,5116.75,3190.2,7837.15,2022,05
2022-06,296.46,282.87,-300.0,14858.93,5593.18,5587.68,3758.23,7742.17,2022,06
2022-07,340.37,358.88,-286.36,14632.78,5598.49,5541.02,3404.98,7954.67,2022,07
2022-08,121.0,130.69,-122.45,1461.99,5256.65,5226.08,2758.8,7550.62,2022,08
2022-09,111.77,136.78,-193.02,630.34,4868.3,4831.7,2350.3,7130.23,2022,09
2022-10,98.9,126.06,-996.19,584.31,4446.73,4428.93,2082.75,6455.4,2022,10
2022-11,58.62,57.38,-466.3,321.04,4337.5,4313.38,2400.48,6116.64,2022,11
