YEAR_WEEK,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,WEEK
2019-00,92.54,91.87,41.05,249.75,8690.77,8781.68,6198.13,11899.31,2019,00
2019-01,80.46,76.08,36.75,215.94,8089.71,8144.75,5973.27,10751.63,2019,01
2019-02,136.05,113.19,43.4,337.72,9506.73,9091.88,6381.0,13545.39,2019,02
2019-03,115.06,99.94,38.11,323.79,9245.85,9222.76,6408.85,13206.9,2019,03
2019-04,144.86,89.7,49.71,4631.98,9006.27,8606.45,6423.03,13700.9,2019,04
2019-05,106.7,94.34,49.43,303.96,8905.41,9016.87,6331.29,12226.27,2019,05
2019-06,86.31,86.36,15.54,145.5,7937.08,8076.78,6017.97,12110.45,2019,06
2019-07,88.52,87.8,45.31,142.49,8074.21,8004.7,6051.26,11898.99,2019,07
2019-08,76.47,78.26,18.79,134.95,7876.99,8019.3,5775.98,9906.75,2019,08
2019-09,89.51,89.02,37.48,220.99,8220.35,8126.34,6269.85,11172.95,2019,09
2019-10,84.91,82.09,31.81,162.46,8030.17,8023.26,5959.59,10997.06,2019,10
2019-11,94.06,92.16,37.89,181.79,7696.81,7893.47,5850.42,9269.3,2019,11
2019-12,87.17,87.64,23.0,155.49,7625.85,7751.58,5969.84,9129.7,2019,12
2019-13,86.04,79.61,30.67,275.95,7403.51,7561.2,5591.05,8758.24,2019,13
2019-14,84.58,81.84,24.3,204.08,7491.23,7579.83,5900.04,9703.26,2019,14
2019-15,83.91,87.0,32.94,143.56,7228.98,7307.94,5766.37,9050.86,2019,15
2019-16,62.7,57.72,12.93,117.02,7052.4,7069.6,5678.68,8877.46,2019,16
2019-17,73.57,68.16,41.18,206.72,7548.35,7696.38,5802.61,9259.97,2019,17
2019-18,76.66,68.66,33.37,255.72,7772.28,7785.64,5818.0,9876.33,2019,18
2019-19,83.52,77.68,43.88,289.71,7826.34,7798.12,6224.45,9705.86,2019,19
2019-20,78.64,77.85,34.72,216.72,7680.77,7748.78,6074.33,9584.01,2019,20
2019-21,82.36,75.72,39.94,285.33,8369.44,8310.85,5836.8,11209.02,2019,21
2019-22,132.36,109.51,50.09,1095.59,8883.04,8857.18,6396.97,12112.84,2019,22
2019-23,78.75,76.56,26.94,249.36,7983.0,7971.88,6095.49,9980.47,2019,23
2019-24,88.74,74.37,34.38,293.64,8958.92,8826.44,6326.1,11700.84,2019,24
2019-25,69.34,65.04,6.48,237.59,8861.63,8776.33,6665.74,11787.09,2019,25
2019-26,68.42,67.16,14.3,234.62,8659.76,8621.98,6232.89,11379.76,2019,26
2019-27,76.35,69.38,22.11,270.19,8484.57,8445.42,6372.63,11001.19,2019,27
2019-28,71.12,62.36,7.46,265.46,8627.22,8537.84,6690.88,11156.52,2019,28
2019-29,67.39,63.5,2.98,221.95,8347.4,8313.49,6492.56,10586.01,2019,29
2019-30,71.66,62.36,42.74,276.61,8583.56,8510.2,6697.94,11107.04,2019,30
2019-31,81.37,68.83,32.43,282.69,8487.89,8326.34,6633.02,10732.08,2019,31
2019-32,85.66,69.33,26.38,369.86,8635.71,8393.12,6638.83,11221.11,2019,32
2019-33,59.72,51.82,-9.51,276.73,8106.6,7913.02,6176.72,11101.06,2019,33
2019-34,114.21,87.13,20.12,331.44,8333.69,8367.22,6186.8,11185.92,2019,34
2019-35,78.15,67.65,-15.78,297.45,7572.98,7517.28,6024.08,9800.14,2019,35
2019-36,92.84,81.31,0.0,299.6,7721.71,7629.62,6042.46,10633.88,2019,36
2019-37,97.87,82.52,5.78,299.6,7583.77,7485.64,5747.89,10887.57,2019,37
2019-38,114.55,89.16,24.89,319.17,7190.99,7096.56,5656.62,9196.73,2019,38
2019-39,107.06,93.1,15.09,299.6,7227.11,7267.42,5795.17,9177.25,2019,39
2019-40,110.77,97.9,0.0,299.5,7127.4,7213.5,5800.41,8555.61,2019,40
2019-41,90.03,80.9,25.82,290.81,7106.28,7125.04,5860.24,8498.22,2019,41
2019-42,83.97,82.34,22.44,224.28,7275.16,7238.3,5735.88,9514.79,2019,42
2019-43,111.12,94.58,49.94,310.87,7323.97,7356.14,5729.21,9272.97,2019,43
2019-44,69.15,69.86,8.72,224.55,7211.24,7336.48,5695.18,8871.9,2019,44
2019-45,72.68,68.9,31.35,277.62,7188.18,7182.22,5709.96,10183.0,2019,45
2019-46,68.11,67.97,25.5,205.54,7642.47,7579.02,5881.72,10655.79,2019,46
2019-47,64.09,64.67,33.18,143.78,7581.62,7516.66,5964.61,9765.25,2019,47
2019-48,50.39,45.08,20.58,215.08,7367.77,7361.44,5844.29,9842.08,2019,48
2019-49,55.95,55.77,25.2,112.52,7700.04,7785.22,5887.18,10768.37,2019,49
2019-50,54.9,54.28,22.99,95.0,8016.81,7946.98,6077.07,11454.8,2019,50
2019-51,46.6,46.3,17.01,71.1,7200.66,7137.9,5634.88,9806.43,2019,51
2019-52,53.29,50.71,26.96,145.06,8190.46,7964.66,6104.58,11638.99,2019,52
2020-00,361.6,50.71,6.62,14700.0,8109.54,7722.58,6037.57,12334.04,2020,00
2020-01,49.37,48.65,21.62,112.6,7964.17,7874.54,5873.73,11920.34,2020,01
2020-02,47.0,47.7,5.44,85.88,7593.39,7594.11,5765.85,9524.55,2020,02
2020-03,84.24,55.9,15.39,2652.08,8505.73,8336.98,5938.99,13330.14,2020,03
2020-04,313.77,70.55,28.73,13063.52,9418.32,9257.43,6515.47,13634.63,2020,04
2020-05,46.04,44.39,11.94,88.57,7951.2,7850.58,5949.24,10938.26,2020,05
2020-06,56.85,51.23,12.95,182.91,7910.76,8010.08,5822.36,10020.15,2020,06
2020-07,58.46,51.4,34.99,211.63,7751.52,7735.53,6042.5,11079.33,2020,07
2020-08,50.38,48.42,27.23,87.21,7789.42,7791.9,6018.86,10252.21,2020,08
2020-09,51.29,47.72,13.2,169.19,7848.12,7879.24,5972.9,11344.04,2020,09
2020-10,41.53,40.29,17.43,88.24,7221.55,7342.95,5720.64,8631.93,2020,10
2020-11,44.73,42.61,1.33,146.79,7335.27,7322.42,5665.41,10226.72,2020,11
2020-12,44.73,44.06,20.07,71.69,7108.99,7239.16,5720.19,8389.77,2020,12
2020-13,52.45,50.59,6.61,200.64,7083.86,7223.04,5599.99,8523.36,2020,13
2020-14,41.02,41.52,-19.41,256.77,6834.63,6965.99,5384.58,8725.82,2020,14
2020-15,39.36,37.88,1.01,300.78,6754.95,6763.33,5503.99,8805.66,2020,15
2020-16,37.75,38.59,-18.33,113.53,6885.92,6875.57,5657.88,8868.11,2020,16
2020-17,33.11,37.27,-5.41,103.35,7259.67,7270.78,5481.48,9826.56,2020,17
2020-18,36.74,36.82,4.08,238.61,7350.48,7256.48,5768.76,9823.34,2020,18
2020-19,40.87,38.67,2.01,181.49,7899.84,7933.18,5675.34,10376.27,2020,19
2020-20,49.01,44.3,8.42,152.3,7968.69,7979.62,6190.73,10680.81,2020,20
2020-21,45.35,38.45,0.08,276.78,8111.43,8077.58,6091.08,11148.12,2020,21
2020-22,44.44,38.69,10.75,211.84,8374.01,8250.7,5864.55,11588.33,2020,22
2020-23,71.35,47.77,17.51,2195.55,8306.49,8285.38,6392.24,10836.23,2020,23
