YEAR_WEEK,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,WEEK
2019-00,81.99,81.76,39.83,159.52,6466.33,6395.9,5353.03,7901.5,2019,00
2019-01,77.72,75.3,-8.83,169.22,6632.44,6743.95,5414.49,7921.0,2019,01
2019-02,100.91,101.96,39.67,242.97,6806.97,6829.08,5394.46,8552.82,2019,02
2019-03,101.91,92.71,37.19,271.85,7163.42,7226.92,5617.35,8915.4,2019,03
2019-04,98.82,85.16,43.54,312.12,6919.43,6963.5,5607.63,8742.41,2019,04
2019-05,88.97,89.04,44.04,152.58,6681.14,6802.94,5383.24,8187.45,2019,05
2019-06,89.8,86.7,16.65,217.47,7177.29,7103.93,5609.81,9988.09,2019,06
2019-07,86.55,86.5,44.51,132.67,6902.09,6825.8,5484.01,9117.67,2019,07
2019-08,67.98,69.39,16.76,132.41,6338.86,6411.7,5411.01,7659.51,2019,08
2019-09,77.45,78.04,17.28,154.0,6646.08,6649.1,5140.54,8564.01,2019,09
2019-10,81.7,78.71,28.23,172.96,7018.14,6963.11,5397.84,9323.04,2019,10
2019-11,89.74,87.85,37.98,173.68,6749.36,6745.26,5259.17,8413.48,2019,11
2019-12,82.32,81.32,19.85,188.31,6824.68,6760.54,5322.5,8904.74,2019,12
2019-13,72.32,65.28,-4.9,179.56,6026.33,6030.75,4804.47,7522.82,2019,13
2019-14,74.44,70.44,19.63,193.19,6081.11,6072.54,5135.68,7654.69,2019,14
2019-15,69.39,68.18,8.53,130.34,5950.05,5936.88,5091.09,7301.99,2019,15
2019-16,57.74,54.65,6.99,113.53,5953.37,5892.31,5088.61,7387.14,2019,16
2019-17,71.92,67.48,35.9,216.37,6175.14,6254.65,5060.06,7530.67,2019,17
2019-18,70.64,63.74,8.38,253.41,5807.86,5680.88,4578.55,7304.21,2019,18
2019-19,75.67,70.08,25.79,254.66,6027.32,6058.76,4862.86,7378.69,2019,19
