YEAR_WEEK,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,WEEK
2019-00,98.18,90.8,23.62,379.86,1358.13,1296.43,667.43,2767.76,2019,00
2019-01,89.92,84.6,36.25,275.38,1231.26,1204.31,651.23,2266.28,2019,01
2019-02,141.88,120.32,9.17,352.92,1672.6,1569.17,781.53,2834.03,2019,02
2019-03,677.78,149.6,-55.28,14500.0,1759.16,1678.24,784.42,2994.29,2019,03
2019-04,135.66,108.58,11.32,1553.9,1305.27,1256.48,647.55,2276.2,2019,04
2019-05,107.06,101.16,-133.96,299.75,1315.42,1307.48,653.82,1927.6,2019,05
2019-06,95.55,94.02,-123.72,229.07,1171.02,1157.18,680.74,1597.26,2019,06
2019-07,102.14,101.51,46.58,261.88,1267.45,1247.34,900.89,1904.23,2019,07
2019-08,249.41,120.82,21.6,12609.08,1838.08,1761.42,1048.0,2852.53,2019,08
2019-09,113.41,112.09,-42.18,314.7,1310.39,1315.68,787.68,1978.44,2019,09
2019-10,93.83,94.04,-9.87,252.28,1220.34,1215.44,834.54,1590.47,2019,10
2019-11,109.44,108.74,36.92,276.36,1372.42,1354.26,861.85,1943.72,2019,11
2019-12,93.48,92.52,1.45,197.99,1202.65,1196.56,878.74,1606.44,2019,12
2019-13,107.86,110.24,31.48,302.93,1260.84,1268.09,792.57,1805.86,2019,13
2019-14,108.07,109.78,-85.34,229.63,1230.37,1218.84,719.04,1699.39,2019,14
2019-15,80.36,83.9,-147.72,204.24,1195.61,1196.51,735.75,1819.29,2019,15
2019-16,84.13,86.23,7.93,170.9,1116.51,1113.68,653.15,1566.79,2019,16
2019-17,84.91,92.42,-128.78,222.49,1194.29,1161.82,757.39,1639.86,2019,17
2019-18,94.69,100.65,-82.99,259.97,1291.64,1271.8,828.51,1848.84,2019,18
2019-19,86.38,82.92,24.57,280.84,1298.55,1248.63,896.48,1833.23,2019,19
2019-20,80.14,85.93,-148.44,242.71,1253.75,1214.12,833.2,1752.69,2019,20
2019-21,79.92,82.9,-115.06,283.89,1344.01,1326.12,907.98,2009.36,2019,21
2019-22,113.09,102.56,-171.8,332.18,1470.66,1450.16,868.95,2164.66,2019,22
2019-23,71.94,77.8,-138.43,244.03,1265.0,1245.94,649.29,1859.99,2019,23
2019-24,120.65,114.64,19.74,332.16,1532.19,1512.1,802.44,2292.15,2019,24
2019-25,82.47,85.54,-155.08,291.8,1436.05,1355.76,905.92,2406.77,2019,25
2019-26,72.41,72.04,1.02,312.43,1421.86,1388.41,717.61,2178.39,2019,26
2019-27,62.68,86.72,-502.79,282.27,1348.78,1314.05,837.57,2064.66,2019,27
2019-28,78.41,83.62,-111.12,299.17,1381.9,1392.17,611.41,2070.62,2019,28
2019-29,70.72,77.72,-32.5,217.08,1354.69,1335.29,650.83,1941.74,2019,29
2019-30,94.93,97.31,-716.67,1633.62,1534.28,1495.22,997.92,2229.02,2019,30
2019-31,76.13,80.82,-174.79,392.96,1441.84,1412.24,772.29,2195.6,2019,31
2019-32,90.81,83.2,-247.36,1452.64,1410.41,1388.05,650.34,2334.66,2019,32
2019-33,46.94,55.38,-839.51,298.5,1340.37,1316.46,734.2,2007.46,2019,33
2019-34,90.05,84.43,-794.58,332.41,1378.94,1346.9,599.59,2102.01,2019,34
2019-35,76.36,77.81,-344.39,323.33,1325.16,1327.76,507.81,1931.55,2019,35
2019-36,82.71,78.0,-146.91,345.97,1212.34,1208.56,587.13,2007.03,2019,36
