YEAR_WEEK,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,WEEK
2019-00,102.38,99.71,-23.74,274.48,1039.47,1036.18,892.06,1185.94,2019,00
2019-01,120.31,111.86,63.95,290.76,1064.5,1059.45,926.32,1206.46,2019,01
2019-02,153.71,127.72,-169.34,641.74,1096.48,1094.23,895.79,1338.31,2019,02
2019-03,188.66,148.0,-145.31,2616.41,1093.95,1091.65,881.38,1284.23,2019,03
2019-04,168.07,148.51,-245.61,2484.14,1079.16,1078.16,716.21,1261.89,2019,04
2019-05,143.77,145.41,15.82,476.14,1008.49,1007.81,797.33,1228.23,2019,05
2019-06,125.41,110.5,11.53,3047.97,986.5,993.54,801.13,1227.16,2019,06
2019-07,131.6,138.04,69.8,260.64,1033.67,1030.66,863.64,1253.98,2019,07
2019-08,120.01,130.99,-614.5,310.52,979.2,978.73,749.05,1225.84,2019,08
2019-09,122.0,127.18,27.41,238.66,1051.49,1060.51,851.72,1278.57,2019,09
2019-10,130.02,139.01,54.57,219.5,1069.28,1059.72,832.11,1366.0,2019,10
2019-11,138.69,135.38,45.42,2569.08,1029.52,1026.42,797.27,1214.57,2019,11
2019-12,111.67,114.14,33.98,222.0,1024.55,1023.45,795.21,1360.18,2019,12
2019-13,115.71,117.51,16.9,221.52,1071.9,1066.11,871.49,1382.77,2019,13
2019-14,119.08,118.51,22.37,295.78,1093.59,1086.06,849.27,1381.71,2019,14
2019-15,102.82,105.22,20.75,750.12,1019.25,1016.9,851.97,1246.46,2019,15
2019-16,82.62,84.42,25.12,205.15,1048.07,1036.19,826.92,1292.25,2019,16
2019-17,105.43,98.8,43.01,2656.29,1090.75,1087.14,874.83,1400.25,2019,17
2019-18,96.56,99.94,17.27,193.37,1154.28,1149.75,889.48,1459.86,2019,18
2019-19,85.31,84.82,6.04,266.84,1159.57,1146.34,926.04,1456.96,2019,19
2019-20,90.53,94.2,38.88,218.28,1193.12,1190.87,922.64,1475.14,2019,20
2019-21,87.78,94.33,-0.44,205.04,1215.53,1217.05,927.1,1530.71,2019,21
2019-22,113.59,99.96,-0.69,3631.07,1263.33,1272.84,1005.21,1571.89,2019,22
2019-23,79.67,79.82,-0.59,2549.49,1212.38,1218.14,951.93,1468.12,2019,23
2019-24,104.52,101.62,1.76,271.15,1324.54,1315.59,1004.71,1623.29,2019,24
2019-25,94.43,98.3,-0.28,232.76,1314.23,1296.01,941.32,1726.97,2019,25
2019-26,75.26,83.84,4.27,645.46,1236.26,1229.21,984.63,1611.11,2019,26
2019-27,75.83,86.22,0.0,166.01,1224.58,1236.82,910.65,1503.75,2019,27
2019-28,69.37,78.92,-316.79,177.51,1226.06,1240.53,994.03,1515.1,2019,28
2019-29,64.11,76.79,-29.99,112.71,1198.29,1195.91,925.49,1489.55,2019,29
2019-30,91.41,88.37,13.13,1820.24,1257.7,1242.94,956.1,1628.73,2019,30
2019-31,93.8,90.02,13.01,365.95,1291.03,1280.64,1017.87,1618.84,2019,31
2019-32,95.89,90.22,13.11,1084.27,1196.08,1175.22,954.69,1558.71,2019,32
2019-33,53.02,52.06,-142.81,225.16,1130.9,1116.78,914.69,1434.76,2019,33
2019-34,32.06,16.41,-29.79,635.72,1140.89,1128.6,846.31,1495.51,2019,34
2019-35,47.75,42.3,-22.46,1481.07,1158.57,1151.32,924.81,1404.24,2019,35
2019-36,35.36,38.25,2.24,101.98,1087.1,1083.12,867.15,1331.15,2019,36
2019-37,46.38,42.15,1.17,155.88,1043.51,1039.58,779.52,1440.98,2019,37
2019-38,90.35,90.28,42.21,111.82,1042.32,1025.34,843.3,1338.68,2019,38
2019-39,95.4,92.65,15.05,310.41,985.38,973.6,757.2,1261.12,2019,39
2019-40,133.76,116.84,36.48,2587.22,1027.47,1023.95,772.45,1293.86,2019,40
2019-41,111.14,102.67,69.35,323.68,1048.98,1033.91,859.81,1398.31,2019,41
2019-42,98.03,97.29,4.67,245.02,947.15,933.53,757.75,1229.04,2019,42
2019-43,89.68,92.4,3.46,205.21,1003.21,996.46,819.53,1231.54,2019,43
2019-44,90.91,73.46,-2.89,4551.39,1022.34,1003.42,816.46,1270.31,2019,44
2019-45,48.77,50.2,-40.03,157.66,986.35,977.16,786.43,1259.48,2019,45
2019-46,57.85,58.04,3.02,191.55,1044.37,1038.53,835.59,1255.18,2019,46
2019-47,70.86,65.62,1.17,2193.88,1073.0,1061.86,894.23,1269.7,2019,47
2019-48,32.13,30.57,-59.16,301.57,996.22,984.85,778.2,1213.16,2019,48
2019-49,52.64,52.86,-27.96,147.35,1015.55,1020.18,810.73,1231.85,2019,49
2019-50,52.99,55.26,-106.52,293.98,1015.06,1010.77,836.91,1282.07,2019,50
2019-51,61.92,57.17,12.81,136.96,1005.2,1005.89,779.02,1169.16,2019,51
2019-52,73.21,79.36,-58.04,298.37,1024.04,1023.51,880.7,1206.94,2019,52
2020-00,83.01,74.57,18.97,252.55,1007.99,1001.18,837.39,1197.43,2020,00
2020-01,63.45,62.94,7.87,172.9,1040.55,1042.94,898.7,1181.24,2020,01
2020-02,71.73,67.62,16.07,255.74,1051.57,1046.99,883.19,1233.41,2020,02
2020-03,49.53,50.46,-290.5,227.7,1014.27,1012.17,794.25,1218.67,2020,03
2020-04,26.59,40.34,-844.65,225.95,1070.44,1065.94,887.92,1298.63,2020,04
2020-05,41.2,44.13,-36.02,101.58,986.12,969.65,730.84,1213.02,2020,05
2020-06,29.89,36.22,-67.64,134.29,1047.99,1047.61,828.64,1282.03,2020,06
2020-07,43.53,40.08,-189.41,2452.79,1017.01,1009.16,847.72,1257.41,2020,07
2020-08,40.45,41.95,9.55,177.32,1048.54,1049.99,879.01,1237.49,2020,08
2020-09,34.99,39.52,-94.25,339.37,1013.61,1008.64,797.87,1251.81,2020,09
2020-10,39.91,39.52,10.15,227.53,1004.65,1018.57,739.78,1298.54,2020,10
2020-11,37.38,38.37,-19.75,286.66,951.58,962.42,715.07,1145.11,2020,11
2020-12,38.85,39.92,-3.94,278.16,1023.09,1012.94,792.02,1323.67,2020,12
2020-13,32.12,33.89,-0.82,137.24,1072.56,1067.06,843.31,1284.74,2020,13
2020-14,35.28,36.27,-0.86,427.4,1103.98,1081.7,863.82,1355.56,2020,14
2020-15,22.29,20.58,-0.62,198.35,1087.36,1080.15,889.61,1366.39,2020,15
2020-16,13.46,11.34,-38.83,140.38,1105.54,1106.36,869.44,1379.49,2020,16
2020-17,17.18,14.26,-24.83,147.04,1105.9,1111.23,870.15,1363.69,2020,17
2020-18,30.28,24.52,-67.66,2482.56,1142.3,1151.81,864.81,1426.62,2020,18
2020-19,27.26,29.97,-7.57,111.68,1188.2,1175.55,957.7,1473.29,2020,19
2020-20,40.41,37.52,-0.7,236.69,1163.94,1148.92,868.39,1498.53,2020,20
2020-21,44.68,32.0,-38.19,2678.09,1169.23,1165.66,840.34,1540.93,2020,21
