YEAR_WEEK,RRP_mean,RRP_median,RRP_min,RRP_max,TOTALDEMAND_mean,TOTALDEMAND_median,TOTALDEMAND_min,TOTALDEMAND_max,YEAR,WEEK
2019-00,95.67,91.19,19.95,297.02,4623.44,4388.41,3560.56,8008.76,2019,00
2019-01,90.82,87.38,36.77,265.96,4516.95,4549.84,3527.52,6359.72,2019,01
2019-02,144.95,124.4,8.95,343.24,5477.34,5310.84,3320.32,8466.84,2019,02
2019-03,707.41,151.21,35.03,14500.0,5591.38,5319.15,3589.78,9281.15,2019,03
2019-04,145.47,117.86,11.66,1446.87,4953.54,4672.46,3581.55,8292.43,2019,04
2019-05,115.06,113.02,-57.34,308.86,5162.18,5078.1,3576.81,7899.53,2019,05
2019-06,95.64,92.49,8.29,210.3,4472.0,4510.32,3458.91,5489.17,2019,06
2019-07,102.17,106.04,48.36,248.9,4553.56,4585.83,3677.71,5643.48,2019,07
2019-08,241.48,115.48,19.11,12634.81,5649.76,5423.44,3488.41,9289.5,2019,08
2019-09,110.12,109.0,7.46,292.34,5051.07,4859.62,3792.32,7800.63,2019,09
2019-10,95.85,95.22,26.84,264.76,4518.6,4501.59,3556.11,5575.04,2019,10
2019-11,109.65,112.36,37.01,241.19,4979.42,5027.62,3745.99,6675.68,2019,11
2019-12,93.6,96.42,21.15,171.79,4523.29,4531.1,3399.0,5595.03,2019,12
2019-13,109.46,112.16,29.67,290.0,4616.26,4602.04,3431.11,6015.06,2019,13
2019-14,113.81,114.37,-12.0,287.97,4599.38,4629.19,3260.98,6141.08,2019,14
2019-15,91.57,96.6,21.2,208.09,4455.54,4459.66,3495.98,6100.27,2019,15
2019-16,77.88,79.78,9.1,151.25,4364.74,4290.54,3304.8,5721.71,2019,16
2019-17,98.59,101.13,47.21,223.75,4576.25,4625.51,3350.86,6185.94,2019,17
2019-18,101.05,103.94,33.63,260.77,4883.73,4928.74,3579.08,6405.33,2019,18
2019-19,88.91,87.27,25.1,284.75,5039.29,5032.3,3820.59,6443.45,2019,19
2019-20,90.34,90.02,36.12,247.03,4818.83,4900.97,3499.77,6128.46,2019,20
2019-21,86.29,83.39,-0.46,290.0,5356.33,5458.5,3583.04,7358.98,2019,21
2019-22,127.73,109.94,7.47,314.4,5427.01,5458.16,3868.34,7092.76,2019,22
2019-23,74.83,80.0,-11.71,251.07,5044.51,5052.39,3461.4,6572.41,2019,23
2019-24,118.58,109.56,21.8,297.99,5686.83,5762.8,4000.18,7462.83,2019,24
2019-25,92.61,93.69,-0.27,280.59,5583.54,5480.59,3746.28,7464.06,2019,25
2019-26,73.88,74.94,-0.1,275.7,5372.2,5398.32,3957.87,6895.12,2019,26
2019-27,91.28,95.72,0.0,290.0,5286.57,5364.8,3773.89,6801.2,2019,27
2019-28,85.32,89.5,-38.81,290.0,5364.71,5370.74,3882.52,6874.1,2019,28
